0	ERX1787318_ERR1717084_Siegal20_NODE_2267_length_2527_cov_4.03398_2
1	Zhu16_SMRUmix_NODE_2344_length_2705_cov_10.7758_1
2	Zhu16_SMRU1_NODE_2253_length_2724_cov_25.3005_1
3	PVX_086855
4	PRJNA515743_Guna19_NODE_2966_length_2707_cov_23.0894_1
5	ERX1787321_ERR1717087_Siegal20_NODE_2030_length_2761_cov_6.66519_1
6	ERX1787319_ERR1717085_Siegal20_NODE_2035_length_2987_cov_13.1855_1
7	Kim19_G_NODE_1319_length_2693_cov_15.2128_1
8	Kim19_L_NODE_73_length_2564_cov_4.84077_1
9	Kim19_O_NODE_1359_length_2817_cov_30.967_1
10	Kim19_T_NODE_1129_length_2572_cov_17.8681_1
11	SRX5158495_SRR8347532_NODE_221_length_2610_cov_22.3993_1
12	Kim19_E_NODE_79_length_2518_cov_4.02213_1
13	Kim19_F_NODE_1223_length_3741_cov_11.1324_2
14	Kim19_D_NODE_1818_length_2735_cov_23.346_1
15	Zhu16_SMRU2_NODE_2115_length_2902_cov_10.8809_1
16	Kim19_K_NODE_369_length_2104_cov_2.72091_1
17	SRX5158517_SRR8347510_NODE_274_length_1640_cov_7.53391_1
18	ERX1787320_ERR1717086_Siegal20_NODE_2725_length_1506_cov_3.04962_1
19	Kim19_N_NODE_2951_length_1540_cov_69.6516_1
20	Kim19_Q_NODE_133_length_1552_cov_3.60829_2
21	ERX1787320_ERR1717086_Siegal20_NODE_3089_length_1159_cov_2.00091_1
22	ERX1787320_ERR1717086_Siegal20_NODE_801_length_8497_cov_43.0676_2
23	PVX_094240
24	PRJNA515743_Guna19_NODE_915_length_7557_cov_76.7714_1
25	PVP01_0009740
26	PVP01_0800100
27	SRX2884277_SRR5646670_NODE_568_length_5361_cov_12.8425_3
28	ERX1787319_ERR1717085_Siegal20_NODE_2036_length_2987_cov_4.38813_1
29	Zhu16_SMRU1_NODE_2155_length_2888_cov_14.4818_2
30	ERX1787321_ERR1717087_Siegal20_NODE_830_length_8171_cov_33.5372_2
31	Kim19_F_NODE_1309_length_3588_cov_12.3873_1
32	Zhu16_SMRU1_NODE_2298_length_2649_cov_12.6214_1
33	PVP01_0217400
34	PVP01_0217500
35	Zhu16_SMRUmix_NODE_2150_length_3057_cov_14.6229_2
36	PVP01_0000330
37	ERX1787318_ERR1717084_Siegal20_NODE_1985_length_3170_cov_7.5634_1
38	Kim19_T_NODE_537_length_3587_cov_7.56162_1
39	Zhu16_SMRUmix_NODE_1898_length_3541_cov_16.5023_1
40	Zhu16_SMRU2_NODE_1110_length_6561_cov_15.4659_3
41	PRJNA515743_Guna19_NODE_1633_length_5070_cov_28.1984_1
42	Kim19_P_NODE_1642_length_2653_cov_11.7924_2
43	Zhu16_SMRU2_NODE_1857_length_3557_cov_21.2619_1
44	Kim19_P_NODE_1465_length_2832_cov_25.6674_1
45	ERX1787320_ERR1717086_Siegal20_NODE_2001_length_2835_cov_6.15899_1
46	PVP01_1148100
47	PVP01_0424000
48	PVP01_0600600
49	PVX_001635
50	Kim19_G_NODE_2078_length_2059_cov_2.71125_1
51	SRX2884278_SRR5646669_NODE_1720_length_2745_cov_4.95096_1
52	PVP01_0403500
53	PVP01_0005870
54	PVP01_0010440
55	PVP01_0839400
56	PVX_003495
57	PVX_124725
58	Kim19_T_NODE_1489_length_2205_cov_22.9761_1
59	Kim19_G_NODE_1758_length_2303_cov_4.79648_1
60	PVP01_1272600
61	ERX1787321_ERR1717087_Siegal20_NODE_2630_length_1678_cov_17.5397_1
62	Kim19_C_NODE_533_length_6595_cov_32.6707_1
63	ERX1787318_ERR1717084_Siegal20_NODE_2432_length_2232_cov_13.4336_1
64	Kim19_N_NODE_1854_length_2217_cov_33.1158_1
65	Kim19_J_NODE_1722_length_2393_cov_22.5627_1
66	ERX1787319_ERR1717085_Siegal20_NODE_2222_length_2542_cov_31.0044_1
67	PVP01_0007830
68	PVP01_0010100
69	PRJNA515743_Guna19_NODE_3425_length_2263_cov_58.4692_1
70	ERX1787318_ERR1717084_Siegal20_NODE_2863_length_1669_cov_18.7689_1
71	Kim19_G_NODE_2369_length_1876_cov_6.94737_1
72	PVP01_0122200
73	Zhu16_SMRU2_NODE_2999_length_1546_cov_9.77934_1
74	SRX2884278_SRR5646669_NODE_2386_length_2196_cov_10.1147_1
75	Zhu16_SMRUmix_NODE_2080_length_3176_cov_10.6322_1
76	ERX1787321_ERR1717087_Siegal20_NODE_2548_length_1805_cov_9.10514_1
77	Kim19_D_NODE_2938_length_1804_cov_5.49859_1
78	PVP01_0700600
79	Kim19_P_NODE_3082_length_1664_cov_8.68056_1
80	ERX1787320_ERR1717086_Siegal20_NODE_2412_length_1954_cov_7.69247_1
81	Kim19_I_NODE_412_length_2232_cov_8.13688_1
82	PVP01_1271900
83	Zhu16_SMRU2_NODE_2915_length_1631_cov_17.1567_1
84	PVX_018660
85	Kim19_C_NODE_3120_length_2055_cov_11.2033_1
86	PVX_107745
87	Kim19_D_NODE_1909_length_2623_cov_8.23243_1
88	Zhu16_SMRUmix_NODE_2602_length_2280_cov_25.5276_1
89	Zhu16_SMRU2_NODE_2506_length_2160_cov_57.5131_1
90	ERX1787319_ERR1717085_Siegal20_NODE_2523_length_1965_cov_3.78429_1
91	Zhu16_SMRU1_NODE_3004_length_1633_cov_12.9404_1
92	Kim19_C_NODE_1171_length_4536_cov_23.3678_1
93	PVP01_0006770
