"Name","SRX697827_SRR1571697_TPM","SRX697828_SRR1571698_TPM","SRX697829_SRR1571699_TPM","SRX697830_SRR1571700_TPM","SRX697831_SRR1571701_TPM","SRX697832_SRR1571702_TPM","SRX697833_SRR1571703_TPM","pir","subfam"
"NODE_990_length_6783_cov_42.9724",4.964155,5.980751,8.00038,7.873886,5.388127,3.91393,3.499899,FALSE,"noCluster"
"NODE_991_length_6781_cov_13.9054",2.479594,1.623307,2.015462,0.919759,1.027594,1.422668,2.906334,FALSE,"noCluster"
"NODE_992_length_6773_cov_103.823",22.577009,15.934084,13.00141,8.396181,10.714096,12.380391,11.147218,FALSE,"noCluster"
"NODE_993_length_6753_cov_29.0549",3.471532,7.718291,9.114108,4.142904,1.257328,0.622729,0.531805,FALSE,"noCluster"
"NODE_994_length_6753_cov_109.506",15.673075,13.898317,16.813725,17.272257,12.546121,10.241157,13.082398,FALSE,"noCluster"
"NODE_995_length_6746_cov_30.593",4.797512,5.652199,5.862731,4.106513,3.063541,2.004629,2.326656,FALSE,"noCluster"
"NODE_996_length_6745_cov_36.5097",4.817582,6.171963,7.473327,5.938644,4.499592,2.944177,2.184177,FALSE,"noCluster"
"NODE_997_length_6729_cov_65.8557",12.458133,13.324832,12.559782,9.897485,5.631027,3.210771,3.419759,FALSE,"noCluster"
"NODE_998_length_6724_cov_14.7472",1.059303,1.585718,2.10515,1.023246,1.227141,2.943435,2.60153,FALSE,"noCluster"
"NODE_999_length_6716_cov_23.2121",2.018079,5.942694,5.829353,2.895903,1.121281,1.252486,1.346919,FALSE,"noCluster"
"NODE_1000_length_6713_cov_29.5287",1.680047,0.838328,2.518374,4.455172,4.314103,4.418811,7.167648,FALSE,"noCluster"
"NODE_1001_length_6710_cov_22.5507",1.120557,3.567075,5.093272,3.064178,2.042464,2.224585,2.353501,FALSE,"noCluster"
"NODE_1002_length_6706_cov_94.4105",24.46694,21.639991,17.231134,11.039003,4.161226,1.979983,1.995519,FALSE,"noCluster"
"NODE_1003_length_6705_cov_25.9546",0.885316,1.965823,4.746319,5.692074,4.636846,2.75518,3.065423,FALSE,"noCluster"
"NODE_1004_length_6701_cov_57.6833",6.173726,9.089474,10.329376,9.993802,6.992461,4.437363,5.303614,FALSE,"noCluster"
"NODE_1005_length_6700_cov_78.509",1.904886,9.140372,11.46992,7.435477,14.803662,13.761815,10.347248,FALSE,"noCluster"
"NODE_1006_length_6700_cov_68.4319",4.755388,5.017791,5.13128,10.571249,16.943876,8.518032,9.086977,FALSE,"noCluster"
"NODE_1007_length_6696_cov_296.661",39.79068,15.612537,11.076518,9.312849,14.346203,38.859657,108.377824,FALSE,"noCluster"
"NODE_1008_length_6691_cov_59.0127",9.67064,12.982349,11.630818,5.786544,3.963455,2.637823,2.714091,FALSE,"noCluster"
"NODE_1009_length_6687_cov_158.067",40.192393,38.295458,31.34504,16.505751,7.296747,5.784567,6.913733,FALSE,"noCluster"
"NODE_1010_length_6679_cov_32.3616",2.962828,3.404027,4.542193,3.764397,3.418965,3.828179,5.852256,FALSE,"noCluster"
"NODE_1011_length_6678_cov_38.0649",3.052181,7.309121,10.006484,5.605727,2.831543,2.178825,2.241349,FALSE,"noCluster"
"NODE_1012_length_6673_cov_175.97",0.119633,0.190279,0.281221,30.295498,78.219506,29.319461,10.355716,FALSE,"noCluster"
"NODE_1013_length_6656_cov_11.3174",1.947526,2.381248,2.601261,1.447534,0.565819,0.557671,0.719661,FALSE,"noCluster"
"NODE_1014_length_6647_cov_17.5978",2.813688,3.68826,3.177518,1.573788,1.446648,1.340267,1.493996,FALSE,"noCluster"
"NODE_1015_length_6642_cov_10.1249",1.787847,0.501812,0.548176,1.008554,0.844529,1.626948,2.664488,FALSE,"noCluster"
"NODE_1016_length_6628_cov_82.5693",17.002936,9.577436,6.055206,6.272101,5.283684,12.371654,14.873403,TRUE,"C_2"
"NODE_1017_length_6627_cov_84.3643",8.900114,13.344501,11.477367,13.432317,15.407304,7.643229,5.602377,FALSE,"noCluster"
"NODE_1018_length_6620_cov_36.687",5.979793,9.589307,7.046352,2.59235,2.312205,2.741584,2.765915,FALSE,"noCluster"
"NODE_1019_length_6608_cov_45.8123",4.199915,2.442553,4.532669,5.645249,5.370133,6.510239,10.951097,FALSE,"noCluster"
"NODE_1020_length_6605_cov_20.3374",2.682187,3.308568,5.317224,2.209319,1.577414,1.611306,1.91413,FALSE,"noCluster"
"NODE_1021_length_6604_cov_46.2889",8.212664,5.081389,4.170898,4.530501,4.817929,7.345698,7.660284,FALSE,"noCluster"
"NODE_1022_length_6603_cov_26.0064",4.991317,5.710439,4.896131,2.182206,1.080257,1.424387,2.156584,FALSE,"noCluster"
"NODE_1023_length_6589_cov_20.6036",1.460731,0.586116,0.788022,0.754077,2.219399,6.527596,5.366057,FALSE,"noCluster"
"NODE_1024_length_6588_cov_47.1682",8.728928,11.470042,10.441051,5.809569,2.481873,1.540425,2.515152,FALSE,"noCluster"
"NODE_1025_length_6586_cov_20.6592",1.247374,3.295852,3.895268,2.160104,3.760478,2.405314,1.535832,FALSE,"noCluster"
"NODE_1026_length_6581_cov_60.4759",3.564554,7.86215,10.575782,8.089637,11.570343,8.262166,3.75156,FALSE,"noCluster"
"NODE_1027_length_6579_cov_30.9848",4.979895,5.202545,5.228061,3.41808,2.083311,2.357771,4.035323,FALSE,"noCluster"
"NODE_1028_length_6575_cov_31.2762",5.996741,2.946556,2.055094,1.798189,3.713372,4.854851,6.349976,FALSE,"noCluster"
"NODE_1029_length_6574_cov_40.0811",6.86587,6.412462,5.182895,4.314325,3.572432,3.175431,6.002973,FALSE,"noCluster"
"NODE_1030_length_6573_cov_7.82403",0.97884,0.38323,0.455575,0.335145,0.670698,1.544028,2.328666,FALSE,"noCluster"
"NODE_1031_length_6571_cov_54.9294",4.052157,4.549571,11.600635,14.505061,6.433758,4.66061,5.791311,FALSE,"noCluster"
"NODE_1032_length_6570_cov_40.9194",6.237384,7.721355,6.17162,2.365041,4.880294,4.807088,3.87955,FALSE,"noCluster"
"NODE_1033_length_6567_cov_119.589",19.581312,18.560522,15.300069,18.858537,21.047677,10.675729,6.516307,FALSE,"noCluster"
"NODE_1034_length_6559_cov_20.6728",3.0335,1.773496,2.122444,2.239189,3.446373,3.148371,3.750079,FALSE,"noCluster"
