id	BTCB	MTCB
PCHCB_0100050	10.66808733	13.29857117
PCHCB_0100100	118.9536753	85.30018517
PCHCB_0100300	2.553204833	4.070785333
PCHCB_0100400	1.176712833	1.327840833
PCHCB_0100500	8.499951667	94.70276633
PCHCB_0100600	0.878047833	0.984890333
PCHCB_0100651	0.0695145	0.242807333
PCHCB_0100750	44.40215467	36.75266067
PCHCB_0100800	12.159181	11.76872
PCHCB_0100900	94.99817533	131.2911138
PCHCB_0101000	88.63174317	82.66566983
PCHCB_0101100	19.604549	26.02400533
PCHCB_0101200	787.2560438	748.6155
PCHCB_0101300	6469.191138	5516.678323
PCHCB_0101400	2137.775827	1792.268524
PCHCB_0101500	27.10393167	30.858073
PCHCB_0101600	34.70304983	27.87428133
PCHCB_0101700	41.86231033	51.771068
PCHCB_0101800	1.924375833	2.539113833
PCHCB_0101900	28.95748033	28.18395733
PCHCB_0102000	39.41926433	55.73505783
PCHCB_0102100	66.50658867	64.27060783
PCHCB_0102200	5.896446	4.698500167
PCHCB_0102300	8.5222735	7.297065667
PCHCB_0102400	115.839953	103.252989
PCHCB_0102500	83.6001285	81.81326617
PCHCB_0102600	99.533588	125.4238423
PCHCB_0102700	38.33958867	46.33897867
PCHCB_0102800	62.45144367	64.40176183
PCHCB_0102900	32.29979233	29.92401317
PCHCB_0103000	112.4540478	167.1308532
PCHCB_0103100	2.238514833	0.512511
PCHCB_0103200	27.67873517	30.27309417
PCHCB_0103300	29.28161917	23.478687
PCHCB_0103400	2.543445167	1.058020833
PCHCB_0103500	11.6230275	11.4816565
PCHCB_0103600	95.37269117	171.296484
PCHCB_0103700	29.91661183	41.58382883
PCHCB_0103800	36.1245405	40.24848817
PCHCB_0103900	10.81479833	6.838207
PCHCB_0104000	76.72173267	45.39437167
PCHCB_0104100	114.0768687	160.9183768
PCHCB_0104200	4.932499333	4.066461667
PCHCB_0104300	31.6761835	49.29257567
PCHCB_0104400	51.10382183	82.79743717
PCHCB_0104500	175.8238113	177.9294837
PCHCB_0104600	127.786102	167.3308578
PCHCB_0104700	77.55957883	97.7160035
PCHCB_0104800	41.53828933	38.23724133
PCHCB_0104900	30.09335167	32.56256483
PCHCB_0105000	2.104312333	0.382564
PCHCB_0105100	5.277468	3.538719333
PCHCB_0105200	14.470193	16.4605885
PCHCB_0105300	7.901040167	6.341475667
PCHCB_0105400	49.89302817	35.58988517
PCHCB_0105500	57.68356967	65.001777
PCHCB_0105600	87.58961467	128.731111
PCHCB_0105700	19.05086133	10.3001545
PCHCB_0105800	36.88690417	39.61122783
PCHCB_0105900	56.66980167	53.01210233
PCHCB_0106000	288.1676942	253.1082048
PCHCB_0106100	54.19076317	60.36070767
PCHCB_0106200	34.8685965	37.38750183
PCHCB_0106300	0.894926167	0.091942
PCHCB_0106400	14.723567	17.7794725
PCHCB_0106500	2.1299975	4.218107333
PCHCB_0106600	94.6993305	116.006333
PCHCB_0106700	18.84114533	24.444562
PCHCB_0106800	4.24072	2.3033585
PCHCB_0106900	171.2945218	212.3718397
PCHCB_0107000	8.519977167	9.317734667
PCHCB_0107100	15.97122317	16.43150533
PCHCB_0107200	12.33574067	16.22035633
PCHCB_0107300	17.94221283	15.59158267
PCHCB_0107400	19.1701615	24.46470033
PCHCB_0107500	19.943097	19.51398833
PCHCB_0107550	44.73774617	56.08012033
PCHCB_0107600	110.9996825	145.8887007
PCHCB_0107700	397.5344485	559.6150057
PCHCB_0107800	5.211669333	6.295272167
PCHCB_0107900	165.0783613	178.5157682
PCHCB_0108000	1293.320547	1538.966702
PCHCB_0108100	36.48606333	40.42787167
PCHCB_0108200	135.190776	114.2984225
PCHCB_0108300	62.2677915	84.60220633
PCHCB_0108400	12.06248633	12.34177333
PCHCB_0108500	45.21890167	43.99523333
PCHCB_0108600	9.7765225	7.144726167
PCHCB_0108700	1.861274167	1.7259845
PCHCB_0108800	27.2992965	25.009879
PCHCB_0108900	84.89589367	162.6207087
PCHCB_0109000	10.717629	14.43514333
PCHCB_0109100	59.9245795	65.25541433
PCHCB_0109200	54.03319167	50.739225
PCHCB_0109300	91.7718725	80.73993833
PCHCB_0109400	14833.09484	12638.46253
PCHCB_0109500	136.6132555	203.1714008
PCHCB_0109600	482.7258955	511.1540383
PCHCB_0109700	389.1868928	396.6064092
PCHCB_0109800	115.687477	100.0586618
PCHCB_0109900	48.27584567	93.40562333
PCHCB_0110000	305.3228197	319.7425505
PCHCB_0110100	82.1553195	97.22981983
PCHCB_0110200	292.2400212	350.24343
PCHCB_0110300	100.4172317	88.84990583
PCHCB_0110400	4.835952167	2.736630333
PCHCB_0110500	46.41608683	66.023447
PCHCB_0110600	1778.468938	2293.734196
PCHCB_0110700	273.7027518	171.4198808
PCHCB_0110800	99.49941733	132.0733998
PCHCB_0110900	138.8527857	159.2511142
PCHCB_0111000	96.44282983	101.332316
PCHCB_0111100	12.43047767	16.25145233
PCHCB_0111200	30.79022783	39.36351383
PCHCB_0111300	12.79255633	17.25636283
PCHCB_0111400	16.12760283	7.440819167
PCHCB_0111500	11.99476067	13.6041555
PCHCB_0111600	183.5566695	333.3757657
PCHCB_0111700	128.7838663	131.9642912
PCHCB_0111800	80.98540617	63.62120467
PCHCB_0111900	260.9083427	315.9505218
PCHCB_0112000	155.1847182	248.6577
PCHCB_0112100	154.1812632	239.2098745
PCHCB_0112200	32.73436433	49.83400983
PCHCB_0112300	116.3805707	162.5860722
PCHCB_0112400	19.03812383	20.02960767
PCHCB_0112500	12.38147633	21.42474567
PCHCB_0112600	41.55142867	45.68381433
PCHCB_0112700	210.4708898	220.2649753
PCHCB_0112800	38.88308417	41.357214
PCHCB_0112900	10.85820667	15.06624167
PCHCB_0113000	39.8091945	18.4927365
PCHCB_0113100	69.73368633	81.00160767
PCHCB_0113200	427.5656695	402.3600303
PCHCB_0113300	1.232844833	0.425480333
PCHCB_0113400	70.69491533	63.57133267
PCHCB_0113500	593.9866422	392.3561852
PCHCB_0113600	39.24989517	23.61345367
PCHCB_0113800	25.92886417	7.591008667
PCHCB_0113900	13.44458483	2.0179225
PCHCB_0114000	324.0610412	5.190087
PCHCB_0114100	107.0276998	96.71391267
PCHCB_0114200	278.580423	86.26213383
PCHCB_0114300	21.07481967	24.0292415
PCHCB_0114400	28.4563375	22.10191933
PCHCB_0114500	20.793619	83.48415217
PCHCB_0114600	55.38906617	73.20888967
PCHCB_0114700	10.672491	8.425386667
PCHCB_0114800	0.521776	4.447303
PCHCB_0114900	8.106590833	7.852261
PCHCB_0115000	3.225925167	9.915953167
PCHCB_0115100	1.170191	3.283948833
PCHCB_0115200	8.068757333	24.80677183
PCHCB_0115250	3.171262833	9.786903
PCHCB_0115350	29.2658575	10.5406925
PCHCB_0115400	4.990936	2.884830167
PCHCB_0200001	22.39156683	9.059907
PCHCB_0200011	9.857722833	16.48527767
PCHCB_0200021	7.201430333	12.41273667
PCHCB_0200035	0.618395167	0.6490465
PCHCB_0200041	1020.152942	1280.903842
PCHCB_0200045	56.26476817	63.75299817
PCHCB_0200051	176.9037272	71.74958133
PCHCB_0200055	1.500953833	0.878116667
PCHCB_0200061	102.7610757	33.60893067
PCHCB_0200065	930.4511467	859.807665
PCHCB_0200071	18660.57829	19673.75343
PCHCB_0200100	3.4857755	3.971145333
PCHCB_0200200	12.99826417	13.47631
PCHCB_0200300	80.59617933	126.198965
PCHCB_0200400	51.90411117	52.47507783
PCHCB_0200500	5.806865833	10.64480767
PCHCB_0200600	39.3000835	54.22188283
PCHCB_0200700	111.031394	147.126597
PCHCB_0200800	168.1222013	139.9788975
PCHCB_0200900	123.541002	104.5010973
PCHCB_0201000	46.54096067	74.464067
PCHCB_0201100	3.115374167	1.0651305
PCHCB_0201200	12.259643	12.660983
PCHCB_0201300	145.8149852	165.126039
PCHCB_0201400	1431.121179	1563.963029
PCHCB_0201500	73.51834467	71.403744
PCHCB_0201600	84.09435317	69.13738467
PCHCB_0201700	80.35495933	99.70345383
PCHCB_0201800	62.02651967	77.521953
PCHCB_0201900	23.88876867	30.9438775
PCHCB_0202000	22.19103283	18.32949567
PCHCB_0202100	61.893884	105.236462
PCHCB_0202150	34.08252983	63.3184225
PCHCB_0202200	76.4461325	67.40602
PCHCB_0202300	54.94387883	63.246418
PCHCB_0202400	7.709759833	10.49741533
PCHCB_0202500	63.220316	100.4589675
PCHCB_0202600	169.0688023	205.6472882
PCHCB_0202700	11.28896417	13.2598745
PCHCB_0202800	48.76552517	48.8022985
PCHCB_0202900	28.65155817	9.051513667
PCHCB_0203000	119.5092263	189.6518725
PCHCB_0203100	149.3086917	175.1485792
PCHCB_0203200	171.592966	153.6321177
PCHCB_0203300	40.61482517	58.87264317
PCHCB_0203400	877.326283	460.7234097
PCHCB_0203500	54.7286715	59.83345433
PCHCB_0203600	282.9831683	158.8825105
PCHCB_0203700	26.88574617	32.924762
PCHCB_0203800	438.3383962	608.0926855
PCHCB_0203900	25.974526	39.64890767
PCHCB_0204000	10.40807017	10.90942917
PCHCB_0204100	12.25629783	16.85853583
PCHCB_0204200	2.673265167	0.700302333
PCHCB_0204300	391.3602613	401.7145652
PCHCB_0204400	388.3372693	424.5893653
PCHCB_0204500	17.3208025	19.52575733
PCHCB_0204600	8.264792833	8.8575265
PCHCB_0204700	282.887128	380.0329263
PCHCB_0204800	24.13451367	30.380737
PCHCB_0204900	162.5719013	223.3006042
PCHCB_0205000	11.44117033	6.187136
PCHCB_0205100	3.7464285	4.597727667
PCHCB_0205200	38.157544	39.63869117
PCHCB_0205300	20.231441	16.78154567
PCHCB_0205400	549.1306375	530.620269
PCHCB_0205500	28.4859655	49.82976567
PCHCB_0205600	87.56634967	100.3972803
PCHCB_0205700	63.84628517	52.62601167
PCHCB_0205800	8.362163833	10.378781
PCHCB_0205900	133.8514427	102.2026478
PCHCB_0206000	1.074969833	0.826282333
PCHCB_0206100	31.0407245	29.45242917
PCHCB_0206200	26.0097985	35.36078167
PCHCB_0206300	52.48430933	109.8907645
PCHCB_0206400	601.4526567	688.833278
PCHCB_0206500	21.92790533	18.51384817
PCHCB_0206600	132.5812112	172.6622245
PCHCB_0206700	18.64619383	25.90707033
PCHCB_0206800	1.085574667	0.498232833
PCHCB_0206900	7.134941333	7.782087667
PCHCB_0207000	41.775478	46.741787
PCHCB_0207100	39.437425	45.394807
PCHCB_0207200	33.54549233	18.79164017
PCHCB_0207300	162.1765118	236.8238612
PCHCB_0207400	36.96279333	56.77749283
PCHCB_0207500	0.4530305	1.0320565
PCHCB_0207600	344.2935993	448.5733178
PCHCB_0207700	5.554125667	2.605263
PCHCB_0207800	14.99491367	13.7026865
PCHCB_0207900	7.2242315	5.909931333
PCHCB_0208000	11.5672795	15.94605883
PCHCB_0208100	0.617242333	0.598985333
PCHCB_0208200	29.79015333	30.60328583
PCHCB_0208300	120.899425	144.4728985
PCHCB_0208400	71.7675405	72.6275485
PCHCB_0208500	15.47821633	16.6719115
PCHCB_0208600	132.7173647	133.4900763
PCHCB_0208700	1.352734667	2.2527165
PCHCB_0208800	38.57772583	33.9270145
PCHCB_0208900	58.94972533	58.187244
PCHCB_0209000	74.2074985	58.924228
PCHCB_0209100	50.3964735	45.65277417
PCHCB_0209200	87.15219917	108.5851025
PCHCB_0209300	132.5740095	184.4587102
PCHCB_0209400	44.64091683	48.81650883
PCHCB_0209500	37.5964345	30.2284635
PCHCB_0209600	33.06979733	35.81313983
PCHCB_0209700	29.55931217	34.81262983
PCHCB_0209800	14.39869367	17.67542417
PCHCB_0209900	354.2469107	452.0865822
PCHCB_0210000	58.81731733	63.50423817
PCHCB_0210100	10.63160983	12.7723665
PCHCB_0210200	17.33127533	18.3935305
PCHCB_0210300	81.042813	88.25134017
PCHCB_0210400	42.72888567	55.24269533
PCHCB_0210500	268.608796	289.701621
PCHCB_0210600	60.46454267	58.75820817
PCHCB_0210700	34.99976583	43.59575217
PCHCB_0210800	46.32270917	53.721747
PCHCB_0210900	19.60980467	20.78721367
PCHCB_0211000	2.536659833	2.325703333
PCHCB_0211100	14.74133217	15.5658005
PCHCB_0211200	22.17759567	34.34753783
PCHCB_0211300	89.5377205	101.5134182
PCHCB_0211400	49.45320417	43.77143317
PCHCB_0211500	93.94023333	153.4486575
PCHCB_0211600	90.5691675	62.01648783
PCHCB_0211700	20.2329285	29.88781133
PCHCB_0211800	44.95640333	32.94076117
PCHCB_0211900	5.846387667	4.390457167
PCHCB_0212000	36.11013	30.08786133
PCHCB_0212100	92.21255383	104.4658125
PCHCB_0212200	21.4166335	27.47516017
PCHCB_0212300	8.445347833	8.259184167
PCHCB_0212400	0.946073333	0.342411
PCHCB_0212500	38.05370167	52.5802015
PCHCB_0212600	42.03395067	40.58738517
PCHCB_0212700	58.90890033	64.90064967
PCHCB_0212800	257.3302627	257.7208858
PCHCB_0212900	291.4877132	391.2616878
PCHCB_0213000	553.7721495	511.2008423
PCHCB_0213100	2041.66881	1367.508049
PCHCB_0213200	799.6455702	769.3708923
PCHCB_0213300	1439.813026	1578.991317
PCHCB_0213400	695.5223747	693.5289047
PCHCB_0213500	72.81684383	89.96845367
PCHCB_0213600	37.6236295	26.91810967
PCHCB_0213700	39.88800817	69.16705817
PCHCB_0213800	1.536598667	2.630077667
PCHCB_0213821	9.871354	15.50787817
PCHCB_0213830	12.90364417	45.88740117
PCHCB_0213840	9.479778167	44.43733383
PCHCB_0213881	28.42327833	16.03425717
PCHCB_0300050	3.9627505	3.942585833
PCHCB_0300060	0.860785667	13.99699467
PCHCB_0300070	7.441398667	47.1931985
PCHCB_0300700	0.388148833	65.563826
PCHCB_0300800	0.6314085	108.1698138
PCHCB_0300850	11.34089283	334.3401362
PCHCB_0301000	242.7652635	746.3195538
PCHCB_0301100	11.38666933	168.7835173
PCHCB_0301110	0.368601833	9.2097615
PCHCB_0301120	0.0335735	3.8237415
PCHCB_0301130	0.4982515	14.70358517
PCHCB_0301140	0.112153667	1.969976
PCHCB_0301150	2.096272667	8.321717
PCHCB_0301160	318.3956647	22.70871633
PCHCB_0301170	1027.563388	72.312666
PCHCB_0301180	4.050154333	37.003488
PCHCB_0301190	2.1724255	241.502571
PCHCB_0301200	10.88715383	204.7547187
PCHCB_0302300	125.658283	119.5577255
PCHCB_0302400	1017.887225	1048.330162
PCHCB_0302500	1030.756137	1100.345189
