Gene	X11941_counts	X11942_counts	X11943_counts	X11944_counts
PVX_099590	5173.308918	3643.80346	3659.331105	4955.139809
PVX_099595	2721.68659	1428.655432	2174.858292	2031.664343
PVX_093630	1879.927851	1246.674433	1872.394556	3093.968769
PVX_099600	1937.798764	1321.976916	3328.061298	3295.823717
PVX_099605	5676.610497	4345.580763	4766.444399	6676.608979
PVX_099610	63.13190544	120.2747985	289.9811056	483.5395349
PVX_099615	859.2953796	1072.014508	724.9527641	992.738597
PVX_099620	2260.472948	1277.0046	1366.367925	1435.222888
PVX_099625	1825.564266	1982.965373	1413.417839	1107.351152
PVX_099630	1850.115562	847.1529285	1439.343302	2181.630024
PVX_099635	5460.909821	4061.104718	6007.98602	11520.5575
PVX_099640	5043.537779	4464.809693	4208.566841	6366.413806
PVX_099645	5238.194487	6504.251929	8333.596079	7618.598733
PVX_093635	1471.32413	1709.993874	2619.431974	6682.311096
PVX_099650	1457.294817	1400.417002	2822.034667	3080.283688
PVX_099655	29349.32137	13478.09851	22545.55086	10129.81113
PVX_099660	1588.81962	1420.28849	1496.955443	2462.7444
PVX_099665	1551.992675	1495.590973	586.6836276	421.9566696
PVX_099670	5508.25875	4450.167544	5734.328354	5115.939513
PVX_099675	1783.476329	1964.139753	1157.043816	1023.53003
PVX_099680	982.0518624	676.676475	776.8036903	1445.486699
PVX_099685	11633.80724	13536.6671	9194.897575	6497.5625
PVX_099690	647.1020308	462.2735733	1001.491037	813.6921183
PVX_099695	11093.67872	8085.604062	6119.369491	6793.502381
PVX_093640	4010.629659	4725.230779	6354.619063	6770.693912
PVX_099700	7749.441393	9004.921869	9183.375147	9150.757614
PVX_099705	964.515222	838.785986	1085.988843	1450.048393
PVX_099710	5057.567091	5615.264288	8247.177869	2036.796248
PVX_099715	2327.112181	2199.460011	2215.18679	2608.718599
PVX_099725	2886.53101	4000.444385	3506.658933	5910.814645
PVX_099730	184.1347242	340.952907	265.0158449	359.2333809
PVX_099735	1253.869789	1547.884363	1881.036377	1800.158386
PVX_099740	1439.758177	1538.471553	772.0026786	1111.342634
PVX_099745	3330.208012	3030.924922	2652.078854	9282.47652
PVX_099750	634.8263825	925.5930145	974.6053716	1318.899698
PVX_093645	2595.422779	2685.788544	4652.180321	4500.11086
PVX_099755	0	10.45867813	0	0
PVX_099760	524.345548	395.3380333	138.2691365	133.4295415
PVX_099765	3018.055813	2258.028608	3932.988771	11899.74829
PVX_099770	154.3224355	105.6326491	205.4833	355.2418989
PVX_099775	213.9470129	183.0268673	241.0107865	389.4546018
PVX_099780	1046.937432	755.1165609	880.5055426	1332.014568
PVX_099785	2013.206318	1764.379	1814.782416	2577.927167
PVX_099790	20503.83996	13824.28075	13727.0526	9834.441461
PVX_099795	49.10259312	96.21983879	63.37335421	49.03820755
PVX_099800	597.9994376	657.8508543	382.1605299	338.7057591
PVX_093650	741.7998889	1577.168662	948.6799085	1644.490588
PVX_099805	3621.316243	3095.768726	3040.9608	3709.227211
PVX_099810	1457.294817	2344.835637	2256.475491	3002.734895
PVX_099815	1587.065956	1572.985191	1500.796252	900.9345108
PVX_099820	23227.28021	21280.27239	18605.84068	18124.17938
