Geneid,Asex-Mixed_1,Asex-Mixed_2,Asex-Mixed_3,Asex-Mixed_4
PBANKA_1327800,434.6347025044797,308.06091021071273,417.13637352940907,406.5363438612258
PBANKA_1327900,16.996704543444185,31.41435944523646,27.07227108957055,27.68029171272978
PBANKA_1328000,18.972909845103104,20.741188247408683,28.501227590584033,45.24512840349948
PBANKA_1328100,66.01090784297122,77.37400530592329,149.49465318486648,145.0243813395855
PBANKA_1328200,10.391772856266208,18.94517619822355,29.98016167753018,37.64736155838354
PBANKA_1328300,124.39272090226281,109.62594480730432,139.80885859482876,155.53395329135503
PBANKA_1328400,72.900942920866,63.642545161427385,155.24091619956707,166.96150071851847
PBANKA_1328500,3.6277631740458323,7.389658652713609,7.558373901338203,8.208155280780176
PBANKA_1328600,17.7570017285876,18.460863423231366,49.98848521218373,36.07527393286861
PBANKA_1328700,17.805811226077186,20.057831237492273,32.386361496463984,31.845392743476218
PBANKA_1328800,743.2911079557291,636.3806554537781,622.6068796176393,536.3944591267124
PBANKA_1328900,0.9994941722577567,1.846257004735339,0.6353605554789523,2.799353480279867
PBANKA_1329000,2.22132727203514,2.0823275466235986,3.9869048832359977,14.654209318369864
PBANKA_1329100,21.40378952972546,25.701027096942724,21.643432227093975,104.76528216473244
PBANKA_1329200,3.151219449416025,3.9009487129905365,3.3719553534503177,8.362997854975138
PBANKA_1329300,4259.0184236575715,3460.3004381121636,3139.2037300655084,2958.934574362776
PBANKA_1329400,9.060537809338568,11.340983229472984,10.572303683980442,64.76567483624594
PBANKA_1329500,32.63249277445017,27.810677555573417,29.937833121702578,67.57218741248326
PBANKA_1329600,38.61032502788585,44.06906969599707,27.066834627901795,25.962281836648817
PBANKA_1329700,143.5449491160918,139.07295866651074,220.97039053939577,299.8496035343636
PBANKA_1329800,20.7522965322648,20.533799358467093,13.608280134648034,28.284605082162333
PBANKA_1329900,10.758174449847985,20.715247740203633,19.600895524142153,30.755447426944208
PBANKA_1330000,5.725629499331982,12.809646603485765,2.1676883185103075,2.5365993189253366
PBANKA_1330100,115.20341736355331,124.08536457316006,147.92098639007813,140.61450428216753
PBANKA_1330200,16.42947198225197,35.98575159591605,6.273143857477694,4.425273268746897
PBANKA_1330300,21.300739937636905,23.32298383099601,27.959935149394724,31.745137841538057
PBANKA_1330400,30.320403774862513,29.977490569487053,35.64769739282102,20.525904588741476
PBANKA_1330500,10.242099660740887,18.985649482003012,20.977555166690685,12.556244629889484
PBANKA_1330600,18.04502700717402,26.29487528361248,56.691792338330224,41.278977391093605
PBANKA_1330700,28.761745518310985,41.74586193854171,50.11777970998441,32.338118261688415
PBANKA_1330800,57.30424003128488,64.49803940409913,107.24672828550442,78.07327059145025
PBANKA_1330900,6.659614113495033,5.325044254999241,3.8289900925782305,9.47273655315186
PBANKA_1331000,57.705466782492074,71.22246691061484,157.37564654175208,106.87437805035617
PBANKA_1331100,79.58735506984316,84.05782761407617,163.67744993758103,119.57474638891046
PBANKA_1331200,27.919566489659097,32.313535672322786,29.63367899078694,28.014971745236977
PBANKA_1331300,2.2239937752748826,2.1622880990146944,2.632475533924656,13.492675103297783
PBANKA_1331400,269.0511548690501,289.92321149303274,194.21614027365152,293.11569993817665
PBANKA_1331500,22.315973046175355,32.47744491124037,24.969999887754245,25.374045885503918
PBANKA_1331600,3.7306572688988986,5.6288723848711735,4.17404868151858,8.174054928929428
PBANKA_1331700,1.1926910851466301,1.4513257408200761,4.02520606360574,6.400753986704229
PBANKA_1331800,54.52682235620001,56.35069308597636,194.68682107193086,276.576594088054
PBANKA_1331900,1338.2526596563437,1161.6509304817614,1183.2573103001378,1295.2666558143676
PBANKA_1332000,267.8674197389334,258.27837857327836,281.72956170126486,198.36018912346447
PBANKA_1332100,120.83336874556687,124.86942044821028,93.76959131361036,78.04216370386804
PBANKA_1332200,104.22247263469333,98.62369236204411,75.79889933564233,77.40086921793537
PBANKA_1332300,13.54071494860189,22.454705315756048,19.44189655659177,12.427505783960644
PBANKA_1332400,16.17913982420545,25.381097299055472,70.03006735215999,70.84309613020677
PBANKA_1332500,165.63736620993575,219.75622339322257,156.18965473288196,108.00193315843961
PBANKA_1332600,30.269799518917946,46.40908626232496,54.65129448288601,32.58459677500971
PBANKA_1332700,19.821614424294587,22.013591463483756,33.693865051859184,99.67946900909797
PBANKA_1332800,1.2880976920547753,1.5033214496676808,3.050959849495028,16.730443428726915
PBANKA_1332900,11.296403546802859,16.573045268333022,35.567056629584776,29.885155293974986
PBANKA_1333000,48.271461009752706,54.34274225279913,91.74353720895144,119.09598031450176
PBANKA_1333100,2.965077457601517,4.017857101394881,3.4189976230459522,6.973051280895079
PBANKA_1333200,13.883384803689935,14.471396816528467,42.34966902519707,37.672989442357924
PBANKA_1333300,15.65495221331625,17.458771256825063,12.703770199507552,14.573953591553245
PBANKA_1333400,53.27579402118044,65.99948600383642,44.04093831335295,36.88889823028423
PBANKA_1333500,62.98578794035714,88.86564643303382,105.39202814146655,51.06018672898171
PBANKA_1333600,46.930587092815124,41.69751699130541,84.2067148318279,107.93998768487585
PBANKA_1333700,6.054197723200512,9.142309606460786,3.6333545115584784,42.308602410119065
PBANKA_1333800,110.53898612770506,154.59395627606517,220.70223495964441,151.65847493639987
PBANKA_1333900,29.404112278864645,45.266929834400464,56.10637425647337,31.86548037148247
PBANKA_1334000,10.240103400243727,14.789095530642173,27.125762074607263,24.647574329954782
PBANKA_1334100,118.93414819367217,179.68410937735118,313.16397223996915,265.65916829659966
PBANKA_1334200,141.44188196544542,174.36410969890804,111.86422819185931,97.64327341249745
PBANKA_1334300,990.4588666445554,1412.652787396583,2454.0365046104102,2095.703126750016
PBANKA_1334400,67.00366975980599,70.78024980263253,93.86635807681795,169.17539970093358
PBANKA_1334500,13.969610554865202,16.91602871682463,20.436517228974942,16.56438835403286
PBANKA_1334600,143.0314305938542,156.57746175318746,131.09064680122984,125.19613014040878
PBANKA_1334700,4.927487668033406,6.573405409300399,4.233026988128814,31.79741176680329
PBANKA_1334800,7.470097075324816,5.331441516286972,12.849461115501155,74.01580064289773
PBANKA_1334900,18.35891886272952,32.1173332266935,47.86850728386336,231.67607112851402
PBANKA_1335000,12.562112293493664,16.198857320557586,9.035170110814684,38.05259700702982
PBANKA_1335100,3.5886020355934574,8.375762108688306,2.9295411212204265,2.240551477361287
