"Name","SRX697834_SRR1571704_TPM","SRX697835_SRR1571705_TPM","SRX697836_SRR1571706_TPM","SRX697837_SRR1571707_TPM","SRX697838_SRR1571708_TPM","SRX697839_SRR1571709_TPM","SRX697840_SRR1571710_TPM","SRX697841_SRR1571711_TPM","pir","subfam"
"NODE_805_length_8477_cov_93.2672",9.178562,6.454097,5.442997,8.175089,11.409118,7.470283,4.333121,3.540389,FALSE,"none"
"NODE_806_length_8472_cov_58.1531",5.557865,6.288718,4.891129,3.543412,2.846404,2.333286,3.042372,4.556891,FALSE,"none"
"NODE_807_length_8470_cov_38.9743",4.567065,5.261453,4.829339,3.066669,1.462905,1.025791,1.290531,1.590858,FALSE,"none"
"NODE_808_length_8465_cov_28.7265",2.368534,2.625766,2.904841,3.301171,1.896904,0.923079,1.012321,1.764938,FALSE,"none"
"NODE_809_length_8462_cov_67.792",3.529202,4.863379,2.589671,2.799482,2.527626,6.65161,10.679283,7.218545,FALSE,"none"
"NODE_810_length_8443_cov_44.6407",1.790584,1.273906,1.551454,3.480174,3.797523,3.481096,4.300416,6.838347,FALSE,"none"
"NODE_811_length_8432_cov_32.3907",1.749634,2.482278,3.4248,3.229074,1.862903,1.473136,1.792629,3.0848,FALSE,"none"
"NODE_812_length_8413_cov_227.222",24.011569,19.166671,15.37147,20.44796,20.048059,11.437851,9.104096,10.499065,FALSE,"none"
"NODE_813_length_8398_cov_388.699",14.495369,16.454194,12.472362,14.696143,15.956055,27.209126,44.470552,79.258324,FALSE,"none"
"NODE_814_length_8396_cov_193.561",9.425569,19.943784,9.248171,3.012523,1.821482,10.72857,32.741105,30.758431,FALSE,"none"
"NODE_815_length_8395_cov_96.0445",5.000411,4.369671,6.873294,12.515659,13.286046,6.634553,3.89075,5.007607,FALSE,"none"
"NODE_816_length_8380_cov_49.7312",4.311796,3.883926,3.580909,4.810444,4.562769,2.491625,2.552927,3.603135,FALSE,"none"
"NODE_817_length_8370_cov_13.2471",0.540313,1.192961,1.373154,1.908234,0.844088,0.606244,0.701498,0.802624,FALSE,"none"
"NODE_818_length_8366_cov_62.2619",4.859727,4.655474,4.649807,5.835682,5.958946,4.30852,3.227971,4.104558,FALSE,"none"
"NODE_819_length_8366_cov_79.7479",3.587462,2.209042,4.314195,6.796628,8.868733,8.694572,7.143694,6.821113,FALSE,"none"
"NODE_820_length_8360_cov_248.355",17.874989,15.64012,13.090894,18.227207,24.310405,21.728021,20.690678,18.398521,FALSE,"none"
"NODE_821_length_8354_cov_45.4208",3.062283,4.266063,4.972916,6.205696,4.031702,1.857191,1.421892,1.435266,FALSE,"none"
"NODE_822_length_8356_cov_39.379",3.657442,4.152785,4.699355,4.85132,2.741079,1.228527,1.114621,1.23445,FALSE,"none"
"NODE_823_length_8347_cov_386.341",17.758209,30.716201,18.61451,12.974517,9.188953,26.477006,62.069137,50.104814,FALSE,"none"
"NODE_824_length_8339_cov_43.4464",2.006891,3.870691,5.195813,5.963326,2.624247,1.972512,2.282434,2.3141,FALSE,"none"
"NODE_825_length_8337_cov_28.6868",2.257648,3.050687,3.078854,3.423158,2.040042,1.224375,0.744806,1.311486,FALSE,"none"
"NODE_826_length_8323_cov_40.1074",2.836908,5.269923,3.938267,3.478684,2.4242,2.067484,1.930083,1.726729,FALSE,"none"
"NODE_827_length_8321_cov_49.6204",5.804349,6.004294,5.417739,4.934765,2.779981,1.525497,1.187635,1.583262,FALSE,"none"
"NODE_828_length_8315_cov_119.469",12.454257,8.048307,7.162498,12.34073,16.030241,7.478303,3.620423,4.257428,FALSE,"none"
"NODE_829_length_8311_cov_51.5962",3.21711,2.351765,2.494007,3.680379,5.581877,5.432329,3.44696,4.731614,FALSE,"none"
