"Name","ERX2560129_ERR2541711_TPM","pir","subfam"
"NODE_94_length_4106_cov_124.476",60.673631,FALSE,"none"
"NODE_95_length_4101_cov_17.9592",9.392866,FALSE,"none"
"NODE_96_length_4091_cov_39.6065",20.048604,FALSE,"none"
"NODE_97_length_4083_cov_41.8478",20.831443,FALSE,"none"
"NODE_98_length_4060_cov_16.6589",8.917599,FALSE,"none"
"NODE_99_length_4058_cov_210.833",99.339726,FALSE,"none"
"NODE_100_length_4057_cov_29.1407",12.946155,FALSE,"none"
"NODE_101_length_4056_cov_47.1725",22.546652,FALSE,"none"
"NODE_102_length_4033_cov_42.3854",19.481799,FALSE,"none"
"NODE_103_length_4020_cov_102.36",44.235712,FALSE,"none"
"NODE_104_length_3989_cov_9.90391",5.009275,FALSE,"none"
"NODE_105_length_3981_cov_67.3732",32.814035,FALSE,"none"
"NODE_106_length_3977_cov_40.5648",21.70343,FALSE,"none"
"NODE_107_length_3972_cov_120.028",55.113578,FALSE,"none"
"NODE_108_length_3962_cov_23.001",11.130105,FALSE,"none"
"NODE_109_length_3942_cov_39.6995",20.406625,FALSE,"none"
"NODE_110_length_3910_cov_12.0667",5.592546,FALSE,"none"
"NODE_111_length_3894_cov_30.9625",17.249187,FALSE,"none"
"NODE_112_length_3894_cov_33.6259",16.249765,FALSE,"none"
"NODE_113_length_3879_cov_12.0719",6.160893,FALSE,"none"
"NODE_114_length_3876_cov_42.0034",20.646621,FALSE,"none"
"NODE_115_length_3860_cov_30.9296",17.157986,FALSE,"none"
"NODE_116_length_3859_cov_988.552",465.813012,FALSE,"none"
"NODE_117_length_3845_cov_15.167",7.635487,FALSE,"none"
"NODE_118_length_3841_cov_33.359",16.950148,FALSE,"none"
"NODE_119_length_3833_cov_55.2597",27.715761,FALSE,"none"
"NODE_120_length_3826_cov_113.124",53.908739,FALSE,"none"
"NODE_121_length_3817_cov_24.5824",12.204226,FALSE,"none"
"NODE_122_length_3805_cov_22.8467",11.459991,FALSE,"none"
"NODE_123_length_3764_cov_25.6916",14.620309,FALSE,"none"
"NODE_124_length_3763_cov_24.0569",11.579342,FALSE,"none"
"NODE_125_length_3754_cov_30.8581",14.660993,FALSE,"none"
"NODE_126_length_3748_cov_25.3512",11.710973,FALSE,"none"
"NODE_127_length_3738_cov_32.0557",15.811254,FALSE,"none"
"NODE_128_length_3732_cov_41.3299",19.974879,FALSE,"none"
"NODE_129_length_3732_cov_38.0544",18.867508,FALSE,"none"
"NODE_130_length_3690_cov_20.0823",11.502521,FALSE,"none"
"NODE_131_length_3684_cov_13.0171",6.502904,FALSE,"none"
"NODE_132_length_3664_cov_31.8229",15.122899,FALSE,"none"
"NODE_133_length_3654_cov_100.355",51.802827,FALSE,"none"
"NODE_134_length_3653_cov_34.2624",19.508639,FALSE,"none"
"NODE_135_length_3653_cov_18.2462",9.209165,FALSE,"none"
"NODE_136_length_3638_cov_57.216",28.132939,FALSE,"none"
