UniqueCount	AmbigCount
849	0
494	2
669	0
135	0
563	2
320	0
38	0
1	0
803	0
732	0
337	0
527	3
371	0
582	1
5	1
185	1
453	0
110	0
100	0
345	0
326	0
466	0
317	0
166	0
393	0
248	0
2700	32
935	3
831	32
103	0
186	0
22	0
1500	0
228	0
616	0
197	1
581	0
430	0
542	7
105	0
816	0
302	0
0	0
107	0
275	0
288	0
1	0
555	0
118	0
348	0
298	0
214	0
36	0
921	5
367	0
94	1
4	0
0	0
317	0
345	0
714	1
6	0
651	0
3	0
4	0
6	0
1447	0
493	0
127	0
458	0
181	3
112	1
393	0
108	0
90	4
49	0
92	3
491	1
102	0
33	0
322	7
25	1
180	11
194	0
284	1
126	0
319	0
175	0
366	0
596	0
310	0
4	0
186	0
291	0
168	3
234	0
1	0
474	1
391	0
307	0
99	5
354	0
301	0
202	0
319	4
488	0
751	0
134	21
907	0
92	0
497	2
1	0
251	0
177	0
221	0
4	4
211	0
557	0
165	4
423	2
177	2
438	0
196	1
237	0
151	0
429	9
209	0
234	0
987	0
461	3
177	0
679	0
864	0
396	0
62	1
44	0
571	0
250	0
550	0
245	2
410	3
468	0
411	1
142	0
200	9
230	2
7	0
425	0
259	0
219	0
3	0
299	0
246	0
451	0
68	0
453	0
293	0
1	0
0	0
6	0
218	2
216	0
279	0
2	0
813	0
278	1
29	0
190	0
123	0
445	5
20	0
301	1
107	0
99	0
42	0
10	0
458	1
8	0
416	2
134	0
508	0
224	0
280	0
772	0
33	0
344	0
334	0
64	0
474	0
7	0
6	1
379	0
29	0
766	0
191	0
447	0
182	0
269	1
4	0
64	0
79	0
16	0
234	0
81	0
288	0
281	0
141	0
100	0
684	0
119	1
335	0
199	0
213	0
161	0
0	0
346	0
178	0
339	0
0	0
227	6
423	2
137	0
486	0
407	0
319	0
498	0
295	0
180	0
518	4
660	0
7	0
9	0
125	0
231	0
8	0
8	0
594	3
1	0
55	0
116	0
39	0
6	0
301	0
0	0
204	0
268	1
1	0
531	0
40	0
1213	2
199	0
234	0
118	3
10	0
186	1
151	12
214	1
182	0
392	0
357	0
489	0
0	0
580	0
137	0
339	0
134	0
288	5
4	0
142	0
233	0
186	0
132	0
11	0
6	0
290	0
99	0
168	0
18	0
285	0
143	7
215	0
373	1
159	0
12	0
17	0
193	1
381	0
315	4
97	0
223	0
219	0
1	0
268	0
114	0
54	0
1528	2
9	0
201	0
186	0
197	0
182	0
402	0
171	1
1555	0
16	0
173	0
1	0
85	0
222	2
266	5
231	0
63	0
84	0
397	0
322	0
363	1
264	0
83	0
140	4
157	0
312	0
209	0
0	0
234	0
150	0
242	0
1	0
152	0
155	0
42	0
195	5
98	0
352	0
144	2
120	1
384	0
237	0
18	0
47	0
672	0
0	0
485	4
212	0
716	3
428	0
1	0
312	0
197	1
0	0
1	0
0	0
394	0
3	0
0	0
56	0
0	0
182	0
1001	0
111	0
143	0
30	0
152	1
29	0
126	0
141	2
87	0
285	0
157	0
2268	0
135	0
30	0
386	0
226	0
367	0
201	0
288	0
0	0
487	3
1259	0
4	0
2	0
815	0
27	0
2	0
350	0
169	1
10	0
540	0
61	0
80	2
6	2
651	0
334	1
2	0
6	0
286	0
2	0
279	0
102	0
2	0
195	0
126	1
0	0
2	0
1	0
509	0
121	0
2908	0
70	12
161	0
484	0
101	0
120	0
303	7
103	0
1	0
160	2
801	0
8	0
14	0
81	0
230	1
173	6
9	0
147	0
771	0
406	2
515	0
220	1
111	0
742	3
333	0
273	0
136	0
286	0
69	0
191	1
111	0
141	0
281	7
217	7
41	0
536	6
72	0
746	2
86	0
159	0
159	1
553	9
211	1
754	4
10	0
142	0
197	2
112	0
3	1
158	1
247	0
1	0
292	0
139	0
430	0
240	0
56	0
153	0
145	0
55	0
22	2
206	0
266	2
576	0
309	0
154	2
898	0
76	0
111	0
1	0
1101	0
97	0
96	0
226	0
416	0
136	0
1	0
3	1
209	2
1	0
8	4
627	0
4	0
5	0
81	0
188	0
476	0
126	0
156	0
111	0
137	0
11	0
165	2
1085	1
43	0
103	0
140	0
2	0
6	0
58	0
108	0
5	0
1	0
341	0
603	0
316	0
163	0
145	2
292	0
124	0
15	0
239	0
317	4
739	3
41	8
478	1
7	0
291	0
415	0
2	0
79	1
179	0
936	0
403	0
0	0
59	0
182	0
199	3
319	2
26308	0
101	0
166	0
158	1
54	0
236	1
98	0
111	1
262	0
113	0
120	0
4	0
175	2
315	0
0	1
271	0
299	0
97	0
128	0
2	0
11	3
195	0
179	0
616	0
55	0
0	0
0	0
94	1
4	0
136	0
227	0
153	0
151	7
254	1
304	0
1	0
479	3
5	0
72	1
606	0
2	0
142	0
312	0
1	0
1	0
298	0
310	0
246	0
0	0
3	0
148	0
69	0
0	0
5	0
725	0
8	0
155	4
133	0
12	0
250	2
116	1
75	1
319	2
634	0
331	0
2	0
3	0
132	0
96	0
33	0
256	3
89	0
143	0
32	0
259	0
162	0
364	0
0	0
184	3
532	0
681	11
0	0
4	0
32	0
7	2
493	0
465	0
141	0
0	0
5	0
621	0
3	1
123	0
196	1
167	2
97	0
222	0
13	0
0	0
0	0
283	0
179	0
4	0
33	0
0	0
7	0
0	0
30	0
90	1
325	17
652	0
209	0
616	2
2144	0
356	24
63	2
113	0
107	0
0	0
59	4
181	0
118	0
136	0
42	0
316	1
385	0
273	0
173	0
100	0
123	0
265	1
135	0
14	0
172	0
405	0
235	0
8	0
45	0
129	6
116	3
6	0
329	1
137	0
89	0
822	44
85	0
2	0
982	0
0	0
1	0
8	0
110	0
139	4
200	0
4	0
6	0
1	0
110	0
59	0
234	0
151	0
162	2
148	0
107	0
141	0
4	0
186	0
86	0
5	0
1	0
355	0
194	8
36	0
18	0
7	0
407	0
161	2
213	10
0	0
60	0
1	0
79	0
0	0
138	0
0	0
1	0
9	0
4	0
302	0
60	0
2	0
11	0
42	0
126	1
10	0
181	0
581	2
196	1
842	3
108	1
1002	0
150	0
116	0
502	0
9	0
48	0
2	0
213	1
803	0
