"Name","ERX2560132_ERR2541714_TPM","pir","subfam"
"NODE_86_length_1000_cov_9.64762",7.398428,FALSE,"noCluster"
"NODE_87_length_997_cov_5.91614",4.864426,FALSE,"noCluster"
"NODE_88_length_994_cov_18.5729",13.874388,FALSE,"noCluster"
"NODE_89_length_991_cov_20.1186",11.990039,FALSE,"noCluster"
"NODE_90_length_989_cov_13.1113",19.6075,FALSE,"noCluster"
"NODE_91_length_986_cov_55.6692",42.021758,FALSE,"noCluster"
"NODE_92_length_985_cov_46.5161",41.942267,FALSE,"noCluster"
"NODE_93_length_974_cov_3.37976",2.236978,FALSE,"noCluster"
"NODE_94_length_972_cov_10.1363",7.650626,FALSE,"noCluster"
"NODE_95_length_971_cov_19.274",15.319903,FALSE,"noCluster"
"NODE_96_length_969_cov_63.4114",44.748115,FALSE,"noCluster"
"NODE_97_length_955_cov_8.92778",5.926582,FALSE,"noCluster"
"NODE_98_length_955_cov_3.19444",2.424511,FALSE,"noCluster"
"NODE_99_length_953_cov_5.38419",4.050923,FALSE,"noCluster"
"NODE_100_length_949_cov_5.76398",4.47834,FALSE,"noCluster"
"NODE_101_length_948_cov_33.9317",27.039614,FALSE,"noCluster"
"NODE_102_length_948_cov_15.738",14.403011,FALSE,"noCluster"
"NODE_103_length_947_cov_25.6323",17.686249,FALSE,"noCluster"
"NODE_104_length_945_cov_3.64382",3.273374,FALSE,"noCluster"
"NODE_105_length_941_cov_3.94582",3.015778,FALSE,"noCluster"
"NODE_106_length_940_cov_12.1492",8.509778,FALSE,"noCluster"
"NODE_107_length_940_cov_6.34124",5.490179,FALSE,"noCluster"
"NODE_108_length_936_cov_17.8377",13.795351,FALSE,"noCluster"
"NODE_109_length_936_cov_13.2917",9.932652,FALSE,"noCluster"
"NODE_110_length_933_cov_2.3303",1.800272,FALSE,"noCluster"
"NODE_111_length_928_cov_4.3047",2.926836,FALSE,"noCluster"
"NODE_112_length_927_cov_8.27638",6.558975,FALSE,"noCluster"
"NODE_113_length_923_cov_2.91359",2.244406,FALSE,"noCluster"
"NODE_114_length_920_cov_8.24624",6.477826,FALSE,"noCluster"
"NODE_115_length_913_cov_7.85781",5.684611,FALSE,"noCluster"
"NODE_116_length_912_cov_5.986",4.411359,FALSE,"noCluster"
"NODE_117_length_912_cov_8.61844",7.115096,FALSE,"noCluster"
"NODE_118_length_912_cov_6.49125",5.122905,FALSE,"noCluster"
"NODE_119_length_911_cov_6.85631",5.272095,FALSE,"noCluster"
"NODE_120_length_910_cov_14.9018",10.843428,FALSE,"noCluster"
"NODE_121_length_906_cov_3.11516",2.438347,FALSE,"noCluster"
"NODE_122_length_903_cov_12.6958",16.726926,FALSE,"noCluster"
"NODE_123_length_898_cov_5.03677",4.059089,FALSE,"noCluster"
"NODE_124_length_897_cov_2.43349",2.032263,FALSE,"noCluster"
"NODE_125_length_896_cov_3.32937",3.343198,FALSE,"noCluster"
"NODE_126_length_895_cov_9.02976",6.695377,FALSE,"noCluster"
