"Name","ERX1787318_ERR1717084_TPM","pir","subfam"
"NODE_95_length_19081_cov_33.9596",11.740271,FALSE,"none"
"NODE_96_length_19062_cov_43.2781",15.157051,FALSE,"none"
"NODE_97_length_19052_cov_104.145",37.374031,FALSE,"none"
"NODE_98_length_18998_cov_141.923",50.199229,FALSE,"none"
"NODE_99_length_18853_cov_88.5489",31.14021,FALSE,"none"
"NODE_100_length_18844_cov_42.463",15.116186,FALSE,"none"
"NODE_101_length_18702_cov_73.0007",25.909529,FALSE,"none"
"NODE_102_length_18701_cov_193.226",68.13914,FALSE,"none"
"NODE_103_length_18676_cov_9.28189",3.256359,FALSE,"none"
"NODE_104_length_18577_cov_115.595",40.167812,FALSE,"none"
"NODE_105_length_18560_cov_48.2202",16.211789,FALSE,"none"
"NODE_106_length_18539_cov_79.7882",27.85169,FALSE,"none"
"NODE_107_length_18501_cov_57.1521",19.649234,FALSE,"none"
"NODE_108_length_18431_cov_51.6771",17.866382,FALSE,"none"
"NODE_109_length_18410_cov_56.7402",19.371559,FALSE,"none"
"NODE_110_length_18370_cov_78.9376",27.252904,FALSE,"none"
"NODE_111_length_18345_cov_13.5688",4.720006,FALSE,"none"
"NODE_112_length_18307_cov_73.2488",25.849533,FALSE,"none"
"NODE_113_length_18168_cov_62.5974",21.772844,FALSE,"none"
"NODE_114_length_18111_cov_71.1136",25.395134,FALSE,"none"
"NODE_115_length_18069_cov_62.4271",22.226867,FALSE,"none"
"NODE_116_length_17942_cov_160.494",56.596708,FALSE,"none"
"NODE_117_length_17929_cov_21.8376",7.760952,FALSE,"none"
"NODE_118_length_17825_cov_14.8508",5.24728,FALSE,"none"
"NODE_119_length_17816_cov_123.161",42.621845,FALSE,"none"
"NODE_120_length_17714_cov_26.9326",9.404771,FALSE,"none"
"NODE_121_length_17682_cov_66.5417",24.035074,FALSE,"none"
"NODE_122_length_17673_cov_43.0005",14.818541,FALSE,"none"
"NODE_123_length_17663_cov_56.6483",19.857415,FALSE,"none"
"NODE_124_length_17614_cov_25.8078",9.150641,FALSE,"none"
"NODE_125_length_17548_cov_70.3369",24.915374,FALSE,"none"
"NODE_126_length_17538_cov_49.2655",17.575125,FALSE,"none"
"NODE_127_length_17510_cov_10.1095",3.446934,FALSE,"none"
"NODE_128_length_17486_cov_42.1431",14.999438,FALSE,"none"
"NODE_129_length_17481_cov_86.8891",29.439926,FALSE,"none"
"NODE_130_length_17476_cov_125.383",44.242811,FALSE,"none"
"NODE_131_length_17439_cov_80.1636",27.860243,FALSE,"none"
"NODE_132_length_17428_cov_73.4942",25.482137,FALSE,"none"
"NODE_133_length_17474_cov_58.9479",20.670552,FALSE,"none"
"NODE_134_length_17315_cov_45.8262",16.324754,FALSE,"none"
"NODE_135_length_17322_cov_30.5745",10.765687,FALSE,"none"
"NODE_136_length_17171_cov_83.7376",29.308552,FALSE,"none"
"NODE_137_length_17142_cov_55.7817",19.498161,FALSE,"none"
"NODE_138_length_17110_cov_60.1971",21.373284,FALSE,"none"
"NODE_139_length_17028_cov_69.382",24.201255,FALSE,"none"
"NODE_140_length_16979_cov_85.2514",30.186195,FALSE,"none"
"NODE_141_length_16905_cov_160.205",56.077955,FALSE,"none"
"NODE_142_length_16874_cov_24.8487",8.705733,FALSE,"none"
"NODE_143_length_16872_cov_34.9943",12.511029,FALSE,"none"
"NODE_144_length_16792_cov_181.542",57.23318,FALSE,"none"
"NODE_145_length_16790_cov_33.8764",11.705059,FALSE,"none"
"NODE_146_length_16781_cov_34.6024",12.175018,FALSE,"none"
"NODE_147_length_16732_cov_66.6945",23.018439,FALSE,"none"
"NODE_148_length_16725_cov_74.7662",26.43777,FALSE,"none"
"NODE_149_length_16687_cov_45.8004",15.959425,FALSE,"none"
"NODE_150_length_16673_cov_96.3003",34.272444,FALSE,"none"
"NODE_151_length_16661_cov_68.2001",24.151896,FALSE,"none"
"NODE_152_length_16628_cov_97.1314",32.492428,FALSE,"none"
"NODE_153_length_16559_cov_79.9082",29.689345,FALSE,"none"
"NODE_154_length_16529_cov_57.038",20.074852,FALSE,"none"
"NODE_155_length_16525_cov_48.1727",16.078766,FALSE,"none"
"NODE_156_length_16508_cov_108.128",37.750068,FALSE,"none"
"NODE_157_length_16494_cov_72.9848",25.515654,FALSE,"none"
"NODE_158_length_16491_cov_53.1811",18.882544,FALSE,"none"
"NODE_159_length_16470_cov_53.2016",18.534271,FALSE,"none"
"NODE_160_length_16404_cov_143.967",51.066025,FALSE,"none"
"NODE_161_length_16379_cov_105.594",36.76989,FALSE,"none"
"NODE_162_length_16356_cov_97.7395",34.162568,FALSE,"none"
"NODE_163_length_16337_cov_122.257",43.263676,FALSE,"none"
"NODE_164_length_16331_cov_52.2195",18.302119,FALSE,"none"
"NODE_165_length_16298_cov_44.2181",15.699966,FALSE,"none"
"NODE_166_length_16286_cov_80.1255",28.082869,FALSE,"none"
"NODE_167_length_16281_cov_118.661",42.126922,FALSE,"none"
"NODE_168_length_16145_cov_94.6018",33.977801,FALSE,"none"
"NODE_169_length_16085_cov_31.4816",11.265796,FALSE,"none"
"NODE_170_length_15952_cov_68.6441",24.51747,FALSE,"none"
"NODE_171_length_15933_cov_85.3343",29.951918,FALSE,"none"
"NODE_172_length_15920_cov_124.14",44.216982,FALSE,"none"
"NODE_173_length_15866_cov_72.5667",26.112643,FALSE,"none"
"NODE_174_length_15846_cov_94.8638",33.27001,FALSE,"none"
"NODE_175_length_15773_cov_101.844",35.85497,FALSE,"none"
"NODE_176_length_15713_cov_89.9494",30.690086,FALSE,"none"
"NODE_177_length_15708_cov_189.321",64.969143,TRUE,"unassigned_8"
"NODE_178_length_15678_cov_37.0655",12.95733,FALSE,"none"
"NODE_179_length_15670_cov_52.8818",18.663632,FALSE,"none"
"NODE_180_length_15638_cov_128.329",44.857607,FALSE,"none"
"NODE_181_length_15623_cov_34.1857",11.980655,FALSE,"none"
"NODE_182_length_15557_cov_59.2903",20.84978,FALSE,"none"
"NODE_183_length_15542_cov_89.9207",31.954578,FALSE,"none"
"NODE_184_length_15509_cov_30.4548",10.808339,FALSE,"none"
"NODE_185_length_15466_cov_24.4104",8.636392,FALSE,"none"
"NODE_186_length_15419_cov_24.5582",8.726688,FALSE,"none"
"NODE_187_length_15278_cov_103.602",36.546701,FALSE,"none"
"NODE_188_length_15230_cov_130.605",46.32284,FALSE,"none"
"NODE_189_length_15222_cov_73.5277",25.882582,FALSE,"none"
"NODE_190_length_15251_cov_81.9385",28.76191,FALSE,"none"
"NODE_191_length_15193_cov_72.977",25.700915,FALSE,"none"
"NODE_192_length_15164_cov_76.7306",27.03876,FALSE,"none"
"NODE_193_length_15119_cov_115.385",38.719265,FALSE,"none"
"NODE_194_length_15096_cov_70.4822",24.540556,FALSE,"none"
"NODE_195_length_15092_cov_59.7494",20.571717,FALSE,"none"
"NODE_196_length_15092_cov_101.381",35.693949,FALSE,"none"
"NODE_197_length_15076_cov_39.504",13.95796,FALSE,"none"
"NODE_198_length_15040_cov_37.9514",12.562499,FALSE,"none"
"NODE_199_length_15027_cov_241.805",86.514014,FALSE,"none"
"NODE_200_length_15019_cov_90.8446",31.538859,FALSE,"none"
"NODE_201_length_15006_cov_97.5404",34.038225,FALSE,"none"
"NODE_202_length_14933_cov_85.4589",30.472294,FALSE,"none"
"NODE_203_length_14932_cov_57.157",19.205875,FALSE,"none"
"NODE_204_length_14892_cov_142.463",50.450489,FALSE,"none"
"NODE_205_length_14881_cov_46.6513",16.338356,FALSE,"none"
"NODE_206_length_14827_cov_154.65",56.202226,FALSE,"none"
"NODE_207_length_14818_cov_30.7889",10.777499,FALSE,"none"
"NODE_208_length_14806_cov_36.6951",12.392408,FALSE,"none"
"NODE_209_length_14714_cov_27.4662",9.599008,FALSE,"none"
"NODE_210_length_14692_cov_270.389",95.024642,FALSE,"none"
"NODE_211_length_14674_cov_123.562",43.612746,FALSE,"none"
"NODE_212_length_14672_cov_137.796",48.710511,FALSE,"none"
"NODE_213_length_14665_cov_175.68",60.820429,FALSE,"none"
"NODE_214_length_14663_cov_46.9856",16.676762,FALSE,"none"
"NODE_215_length_14652_cov_96.8264",34.272065,FALSE,"none"
"NODE_216_length_14628_cov_88.3215",31.772276,FALSE,"none"
"NODE_217_length_14595_cov_169.18",60.523601,FALSE,"none"
"NODE_218_length_14594_cov_102.405",35.159192,FALSE,"none"
"NODE_219_length_14581_cov_121.38",41.316362,FALSE,"none"
"NODE_220_length_14574_cov_50.0229",17.748985,FALSE,"none"
"NODE_221_length_14561_cov_34.2681",11.926694,FALSE,"none"
"NODE_222_length_14560_cov_25.5657",9.213466,FALSE,"none"
"NODE_223_length_14513_cov_72.1119",23.999609,FALSE,"none"
"NODE_224_length_14494_cov_277.766",95.001492,FALSE,"none"
"NODE_225_length_14494_cov_107.884",38.202835,FALSE,"none"
"NODE_226_length_14455_cov_61.6021",20.272432,FALSE,"none"
"NODE_227_length_14426_cov_30.5343",10.897454,FALSE,"none"
"NODE_228_length_14410_cov_100.701",34.891292,FALSE,"none"
"NODE_229_length_14393_cov_73.6317",26.033906,FALSE,"none"
"NODE_230_length_14391_cov_63.8057",22.522464,FALSE,"none"
"NODE_231_length_14330_cov_130.538",46.263894,FALSE,"none"
"NODE_232_length_14305_cov_76.9114",26.596979,FALSE,"none"
"NODE_233_length_14289_cov_60.8689",21.643162,FALSE,"none"
"NODE_234_length_14245_cov_16.4286",5.757177,FALSE,"none"
"NODE_235_length_14242_cov_69.8747",24.758939,FALSE,"none"
"NODE_236_length_14211_cov_51.338",18.066185,FALSE,"none"
"NODE_237_length_14197_cov_140.305",46.163951,FALSE,"none"
"NODE_238_length_14206_cov_40.5674",14.259993,FALSE,"none"
"NODE_239_length_14165_cov_89.3158",31.417761,FALSE,"none"
"NODE_240_length_14158_cov_60.0084",21.402909,FALSE,"none"
"NODE_241_length_14141_cov_75.1039",26.316995,FALSE,"none"
"NODE_242_length_14131_cov_93.9083",32.460479,FALSE,"none"
"NODE_243_length_14099_cov_89.8802",31.234268,FALSE,"none"
"NODE_244_length_14099_cov_89.6145",31.494889,FALSE,"none"
