"Name","SRX697842_SRR1571712_TPM","SRX697843_SRR1571713_TPM","SRX697844_SRR1571714_TPM","SRX697845_SRR1571715_TPM","pir","subfam"
"NODE_1_length_35826_cov_66.3722",5.15187,5.246785,5.772084,5.116854,FALSE,"noCluster"
"NODE_2_length_33760_cov_31.7671",2.445445,2.562694,2.843286,2.515604,FALSE,"noCluster"
"NODE_3_length_32298_cov_100.548",7.788376,7.836255,8.831281,7.864517,FALSE,"noCluster"
"NODE_4_length_31426_cov_126.746",9.827115,9.704606,11.05319,9.999047,FALSE,"noCluster"
"NODE_5_length_29697_cov_53.0979",4.173636,4.15196,4.679469,4.171428,FALSE,"noCluster"
"NODE_6_length_28974_cov_43.8603",3.414898,3.552201,3.909688,3.509485,FALSE,"noCluster"
"NODE_7_length_27504_cov_37.4559",2.961985,2.991831,3.291848,2.934959,FALSE,"noCluster"
"NODE_8_length_27116_cov_67.0881",5.304905,5.282292,5.891335,5.180063,FALSE,"noCluster"
"NODE_9_length_26843_cov_67.3626",5.37529,5.206198,5.932325,5.366232,FALSE,"noCluster"
"NODE_10_length_26622_cov_147.127",11.714023,11.587939,12.833653,11.679004,FALSE,"noCluster"
"NODE_11_length_26507_cov_29.2202",2.331041,2.247339,2.68361,2.277237,FALSE,"noCluster"
"NODE_12_length_26423_cov_124.035",9.601138,9.624468,11.057383,9.805053,FALSE,"noCluster"
"NODE_13_length_26370_cov_68.4687",5.304201,5.327282,6.04523,5.402522,FALSE,"noCluster"
"NODE_14_length_25997_cov_80.0019",6.359788,6.371982,7.132309,6.569622,FALSE,"noCluster"
"NODE_15_length_25943_cov_45.8937",3.532751,3.70044,4.093593,3.514866,FALSE,"noCluster"
"NODE_16_length_25163_cov_71.7233",5.668748,5.572122,6.441582,5.68823,FALSE,"noCluster"
"NODE_17_length_25133_cov_40.4708",3.175676,3.15985,3.587964,3.133926,FALSE,"noCluster"
"NODE_18_length_25086_cov_75.8324",5.815651,5.989717,6.600898,6.085419,FALSE,"noCluster"
"NODE_19_length_24974_cov_46.4447",3.718941,3.689965,4.061654,3.749661,FALSE,"noCluster"
"NODE_20_length_24722_cov_52.2171",4.101627,4.109429,4.515592,4.287371,FALSE,"noCluster"
"NODE_21_length_24719_cov_21.575",1.566328,1.689896,1.867069,1.681262,FALSE,"noCluster"
"NODE_22_length_24673_cov_63.8045",4.858651,4.906822,5.532408,4.997512,FALSE,"noCluster"
"NODE_23_length_24476_cov_67.3318",5.318351,5.34196,5.869714,5.292235,FALSE,"noCluster"
"NODE_24_length_24390_cov_47.5561",3.671637,3.806528,4.147064,3.670393,FALSE,"noCluster"
"NODE_25_length_23892_cov_70.9978",5.613968,5.557383,6.186254,5.876409,FALSE,"noCluster"
"NODE_26_length_23885_cov_55.3855",4.464096,4.457665,4.874585,4.36822,FALSE,"noCluster"
"NODE_27_length_23868_cov_79.277",6.108024,6.280306,6.982412,6.49947,FALSE,"noCluster"
"NODE_28_length_23835_cov_34.7346",2.741847,2.662483,3.034814,2.803651,FALSE,"noCluster"
"NODE_29_length_23775_cov_21.2333",1.649387,1.675896,1.880642,1.623245,FALSE,"noCluster"
"NODE_30_length_23591_cov_44.4508",3.524379,3.466248,3.959911,3.471252,FALSE,"noCluster"
"NODE_31_length_23414_cov_29.8019",2.333607,2.379084,2.674003,2.327104,FALSE,"noCluster"
"NODE_32_length_23393_cov_95.3427",7.404848,7.662701,8.35369,7.638784,FALSE,"noCluster"
"NODE_33_length_22179_cov_88.3627",7.058429,6.986363,7.786438,6.839312,FALSE,"noCluster"
"NODE_34_length_22005_cov_73.1901",5.590847,5.890607,6.609899,5.841707,FALSE,"noCluster"
"NODE_35_length_21898_cov_52.6798",4.104578,4.110586,4.804346,4.205907,FALSE,"noCluster"
"NODE_36_length_21476_cov_52.081",3.968124,4.214065,4.640143,4.02866,FALSE,"noCluster"
"NODE_37_length_21430_cov_333.824",25.767355,27.566297,28.588255,25.189609,FALSE,"noCluster"
"NODE_38_length_21187_cov_67.8697",5.421936,5.290564,6.040214,5.417297,FALSE,"noCluster"
"NODE_39_length_21027_cov_44.2307",3.48121,3.45191,3.974205,3.516332,FALSE,"noCluster"
"NODE_40_length_20919_cov_35.1956",2.721591,2.805777,3.113392,2.851518,FALSE,"noCluster"
"NODE_41_length_20894_cov_76.5926",5.942734,5.985146,6.658195,6.366551,FALSE,"noCluster"
"NODE_42_length_20569_cov_57.4546",4.485041,4.483524,5.14705,4.479776,FALSE,"noCluster"
"NODE_43_length_20519_cov_99.6675",7.68636,7.849813,8.984433,7.775573,FALSE,"noCluster"
"NODE_44_length_20505_cov_70.9068",5.478674,5.510723,6.211381,5.622192,FALSE,"noCluster"
"NODE_45_length_20489_cov_69.9401",5.55817,5.539631,6.220721,5.590009,FALSE,"noCluster"
"NODE_46_length_20427_cov_125.003",9.902702,9.629682,11.264661,10.186158,FALSE,"noCluster"
"NODE_47_length_20423_cov_206.862",16.088861,16.009657,18.356267,16.724974,FALSE,"noCluster"
"NODE_48_length_20395_cov_57.5703",4.519936,4.737168,5.134127,4.542767,FALSE,"noCluster"
"NODE_49_length_20381_cov_78.1467",6.184181,6.15302,6.870877,6.314937,FALSE,"noCluster"
"NODE_50_length_20326_cov_39.2783",2.993754,3.094808,3.506539,2.979009,FALSE,"noCluster"
"NODE_51_length_20060_cov_52.1673",4.18517,4.067188,4.561033,4.214116,FALSE,"noCluster"
"NODE_52_length_19731_cov_47.2806",3.750226,3.707403,4.301188,3.836606,FALSE,"noCluster"
"NODE_53_length_19704_cov_80.5312",6.339313,6.354028,7.232676,6.710374,FALSE,"noCluster"
"NODE_54_length_19690_cov_39.0469",2.985423,2.967507,3.488669,3.059811,FALSE,"noCluster"
"NODE_55_length_19666_cov_118.394",9.424992,9.465909,10.429158,9.310605,FALSE,"noCluster"
"NODE_56_length_19650_cov_40.1986",3.144404,3.292808,3.329428,3.123095,FALSE,"noCluster"
"NODE_57_length_19640_cov_35.6841",2.872776,2.803215,3.154049,2.8244,FALSE,"noCluster"
"NODE_58_length_19602_cov_30.8307",2.434329,2.375069,2.719078,2.4226,FALSE,"noCluster"
"NODE_59_length_19382_cov_70.5743",5.507159,5.697126,6.301371,5.766026,FALSE,"noCluster"
"NODE_60_length_19172_cov_49.6116",3.902443,3.921528,4.395732,3.96733,FALSE,"noCluster"
"NODE_61_length_19141_cov_35.0734",2.666947,2.662519,3.068097,2.731882,FALSE,"noCluster"
"NODE_62_length_19095_cov_27.91",2.260764,2.131361,2.411684,2.28053,FALSE,"noCluster"
"NODE_63_length_19022_cov_46.1984",3.559867,3.643543,4.225151,3.70853,FALSE,"noCluster"
"NODE_64_length_19006_cov_39.1431",3.106434,3.072432,3.636798,3.023072,FALSE,"noCluster"
"NODE_65_length_19010_cov_35.3225",2.817647,2.713185,3.050464,2.860675,FALSE,"noCluster"
"NODE_66_length_18926_cov_63.9136",4.638737,4.547202,5.208908,4.591259,FALSE,"noCluster"
"NODE_67_length_18853_cov_44.4295",3.498075,3.471525,3.869601,3.705892,FALSE,"noCluster"
"NODE_68_length_18829_cov_32.2021",2.595629,2.489085,2.896913,2.679461,FALSE,"noCluster"
"NODE_69_length_18780_cov_34.9316",2.770351,2.860471,3.170773,2.82297,FALSE,"noCluster"
"NODE_70_length_18719_cov_42.0326",3.357742,3.354082,3.691595,3.418107,FALSE,"noCluster"
"NODE_71_length_18654_cov_42.1607",3.342968,3.396938,3.750034,3.394848,FALSE,"noCluster"
"NODE_72_length_18622_cov_51.6789",3.942852,4.123437,4.53171,4.153257,FALSE,"noCluster"
"NODE_73_length_18602_cov_72.2967",5.624121,5.620427,6.449733,6.033621,FALSE,"noCluster"
"NODE_74_length_18583_cov_23.5225",1.854922,1.843882,2.074761,1.949734,FALSE,"noCluster"
"NODE_75_length_18477_cov_157.189",12.253107,12.71549,13.794067,12.370446,FALSE,"noCluster"
"NODE_76_length_18425_cov_67.4286",5.308254,5.212706,6.05165,5.525609,FALSE,"noCluster"
"NODE_77_length_18358_cov_33.8782",2.657235,2.730078,2.997247,2.617206,FALSE,"noCluster"
"NODE_78_length_18346_cov_53.9405",4.296888,4.393873,4.635617,4.294788,FALSE,"noCluster"
"NODE_79_length_18302_cov_26.2287",2.047238,2.109736,2.313939,2.07327,FALSE,"noCluster"
"NODE_80_length_18168_cov_180.869",14.2315,15.219198,15.659755,14.150501,FALSE,"noCluster"
"NODE_81_length_18059_cov_46.8006",3.708396,3.653381,4.254439,3.850972,FALSE,"noCluster"
"NODE_82_length_17958_cov_52.9854",4.045913,4.201418,4.707226,4.105789,FALSE,"noCluster"
"NODE_83_length_17866_cov_45.6573",3.593518,3.703431,4.067219,3.560854,FALSE,"noCluster"
"NODE_84_length_17849_cov_117.515",9.327904,9.215016,10.290608,9.681001,FALSE,"noCluster"
"NODE_85_length_17766_cov_60.8173",4.808728,4.736168,5.516965,4.883251,FALSE,"noCluster"
"NODE_86_length_17747_cov_40.2128",3.086494,3.139741,3.516484,3.054688,FALSE,"noCluster"
"NODE_87_length_17713_cov_33.7991",2.612656,2.605507,2.913565,2.683159,FALSE,"noCluster"
"NODE_88_length_17658_cov_20.867",1.583223,1.730342,1.806035,1.696879,FALSE,"noCluster"
"NODE_89_length_17611_cov_41.7318",3.005903,3.064717,3.508291,3.069367,FALSE,"noCluster"
"NODE_90_length_17582_cov_78.8703",6.279104,6.226105,7.098285,6.218465,FALSE,"noCluster"
"NODE_91_length_17539_cov_37.7915",2.977219,3.04038,3.295591,3.091837,FALSE,"noCluster"
"NODE_92_length_17515_cov_46.197",3.613276,3.550729,4.29122,3.536249,FALSE,"noCluster"
"NODE_93_length_17506_cov_151.218",11.936735,12.239159,13.60376,11.801785,FALSE,"noCluster"
"NODE_94_length_17456_cov_30.9396",2.502793,2.410006,2.714174,2.516084,FALSE,"noCluster"
"NODE_95_length_17450_cov_45.8366",3.672068,3.541074,3.981975,3.745512,FALSE,"noCluster"
"NODE_96_length_17427_cov_41.265",3.36325,3.225838,3.667202,3.168756,FALSE,"noCluster"
"NODE_97_length_17418_cov_105.196",8.44727,8.219763,9.134666,8.432241,FALSE,"noCluster"
"NODE_98_length_17359_cov_24.603",1.95372,1.911558,2.205815,1.92792,FALSE,"noCluster"
"NODE_99_length_17336_cov_43.7127",3.459769,3.56611,3.744013,3.449433,FALSE,"noCluster"
"NODE_100_length_17333_cov_69.3606",5.233897,5.325462,5.70005,5.073293,FALSE,"noCluster"
"NODE_101_length_17325_cov_51.11",3.885594,3.991816,4.472349,4.068238,FALSE,"noCluster"
"NODE_102_length_17308_cov_48.1112",3.716356,3.76294,4.289802,3.627867,FALSE,"noCluster"
"NODE_103_length_17265_cov_39.6855",3.111179,3.196309,3.534672,3.203075,FALSE,"noCluster"
"NODE_104_length_17232_cov_42.0986",3.357587,3.389911,3.771465,3.293545,FALSE,"noCluster"
"NODE_105_length_17116_cov_56.4676",4.491691,4.363516,4.924047,4.809333,FALSE,"noCluster"
"NODE_106_length_17039_cov_78.0518",6.138932,5.894244,6.89611,6.535296,FALSE,"noCluster"
"NODE_107_length_16656_cov_30.8221",2.466228,2.390742,2.750733,2.57675,FALSE,"noCluster"
"NODE_108_length_16643_cov_71.5096",5.922007,5.664626,6.0138,5.613331,FALSE,"noCluster"
"NODE_109_length_16489_cov_81.4895",6.479575,6.481964,7.235627,6.70501,FALSE,"noCluster"
"NODE_110_length_16429_cov_66.7105",5.239104,5.393357,5.943386,5.392228,FALSE,"noCluster"
"NODE_111_length_16374_cov_16.9545",1.331054,1.309016,1.542323,1.447221,FALSE,"noCluster"
"NODE_112_length_16281_cov_65.1266",5.056164,5.15031,5.923684,5.037363,FALSE,"noCluster"
"NODE_113_length_16268_cov_41.4747",3.360668,3.21228,3.714296,3.22585,FALSE,"noCluster"
"NODE_114_length_16197_cov_26.7843",2.058247,2.189337,2.300369,2.169897,FALSE,"noCluster"
