Geneid,02h_Late.Rings,05h_Rings.Troph.conversion,08h_Early.Trophs,11h_Mid.Trophs,14h_Late.Trophs,17h_Early.Rings,20h_Early.Mid.Rings,23h_Late.Mid.Rings
PCHAS_1040300,50.04453564672353,48.91098694383702,44.95979393736999,57.78633013996708,98.93560318725022,64.08840815045409,57.18139680089765,47.83638569272456
PCHAS_1040400,117.79541681973254,143.03722109161575,120.56973733483292,145.6921787003444,149.40454256079965,33.930384833598595,36.31741023033086,87.5323496872638
PCHAS_1040500,414.26461688555764,387.4972499332806,551.4677506654052,587.5340422781171,540.2876579677747,253.04669273922548,255.04634326632853,356.2249559596122
PCHAS_1040600,38.10424627191818,44.11700722079559,28.89201009993102,30.43334786996077,23.562811733577952,12.218554063984794,13.132631586538698,32.726308934617904
PCHAS_1040700,74.46380303598993,80.51185595389386,85.7927109918922,107.28814244248521,78.94531085493412,14.901294183046375,12.421191166545267,42.05689917222662
PCHAS_1040800,5.600866433885109,3.1580997180345456,0.946312989467589,1.7813145751216866,5.731624039477527,4.710934784081271,8.364359570708698,3.2966138733334356
PCHAS_1040900,136.35561881535787,112.61946610983674,65.38790034669987,74.39508991046691,154.41932396383206,253.6364994947324,228.54482166803257,127.02483095977675
PCHAS_1040951,0,0,0.2835352791944194,0,0.49493170611045884,0.541791639404427,0.8424536049834832,0.21033632101498131
PCHAS_1041000,1809.2913645766175,2088.7648023358392,1642.255828908538,1223.3850187132548,1198.0306407411294,2000.7789831100838,1835.6554823709905,1870.111434712609
PCHAS_1041100,11.75678382104648,9.16266057260061,16.184074895609736,14.857973657779404,16.88144987012742,31.234228702107405,22.421407317996255,10.770115918459046
PCHAS_1041200,94.15879987796617,93.37820519044949,43.62011439300173,41.145874176051294,75.35490969251053,185.21200602631427,163.3046576687512,113.75146141958695
PCHAS_1041300,64.39760989364612,56.20038413740879,53.83380938779706,52.192809897983025,113.98261502515975,147.74871683116174,110.47793396537969,61.29673040403469
PCHAS_1041400,48.9500905780593,37.80985217704983,32.33334678344343,28.819482088300695,99.56989973584574,235.0054368238488,186.3965537865445,71.54352151332782
PCHAS_1041500,5.566515441197314,1.6959528025312862,0.8820571691950985,2.223734149494436,219.87959034049953,316.6550816702157,76.57829593724718,7.176385196823153
PCHAS_1041600,5.426109519894701,2.2949780665989366,3.550827339623816,2.533206422400879,141.15379822047157,166.32914670971135,34.98217490027301,6.220192391642755
PCHAS_1041700,0.6583331489608151,0.6196534870954863,0.9620484160767834,1.0903907754661273,23.345591392667167,26.114170085254734,9.146014022507927,1.3698536003644683
PCHAS_1041800,77.24116702027969,42.84070519896601,285.866188708839,381.997809899437,559.6827285579059,185.36923593233968,88.15966510796649,39.18834663980232
PCHAS_1041900,51.54413376962558,48.9341061024094,17.013622387318733,9.598925278888892,28.29225728315299,78.77296563629895,91.89403189811078,64.46276796631837
PCHAS_1042000,1.67802873764568,1.5463529699193088,2.3287576431198485,2.602420367803701,3.052462764536582,0.30192997379394354,0.668280681856016,0.9695650430245328
PCHAS_1042050,0,0.9444203486220544,0,0,0,0.7578760890229442,0.9139143061254755,0.3493085331141654
PCHAS_1042300,1.8521101565246703,1.6736821987309805,4.543002022187167,5.1471722218033715,6.764909576888508,0.5028533365440714,0.33450458263416094,0.38355446773320123
PCHAS_1042500,1.0016902579452132,1.4868177974464893,6.2681222373889725,8.022358039781244,16.307330396391812,1.4607214774509918,0.7705017499584139,0.7922825477625157
PCHAS_1042600,1.3025500898458255,0.3408201003209859,2.2450597140360262,5.186282492732204,9.99157910143979,3.7554307729103207,0.5523714102263729,0.12661021264979458
PCHAS_1042700,0,0.12949055426699302,1.916543346516682,1.511977204595568,1.103804524419009,0.6106627479897105,0.4738220969588763,0.31201625657534604
PCHAS_1100100,10.722171153705856,5.435672004439559,7.181124871272072,8.884887044536201,122.36755793428897,144.87123169326168,72.42515065499501,13.223052699889095
PCHAS_1100200,5.361397655793376,2.7016994446652167,23.113637363280265,29.711110753909498,57.996601419551936,7.520835417797208,4.085890004130357,2.4638913997719043
PCHAS_1100300,68.93546560178189,51.42363379881913,177.16491590351552,254.25090827681564,327.7575082861028,50.61812830684277,28.768333420080232,38.41506155059223
PCHAS_1100400,0.75322315668359,1.3879965590440058,0.740457278644967,0.7492905312993592,0.7119667234071566,0.7140284036310248,1.1580827003270693,0.9372822945555105
PCHAS_1100500,15.452225749478327,10.734717959526462,7.484900273402526,8.606050533680875,38.27858769674924,72.01568342350572,40.2943007344511,17.35508713532821
PCHAS_1100600,17.432378717980313,15.664888712338495,5.900049828158705,4.382958054205879,27.20780659914863,72.31329958452147,45.24680932477983,18.92762540770606
PCHAS_1100700,79.97829601040816,70.52032668683259,51.600150945707696,40.88912407352382,90.05573053998513,175.63422010023498,131.51114678611808,89.5458584821807
PCHAS_1100750,85.71643417838234,89.50159202138158,35.30004798213192,20.06115732490828,15.228170585997812,74.08485030552758,81.3253114152054,87.89482156776612
PCHAS_1100800,3.9729684605965865,2.194478047530798,0.9967422792401521,1.8902900742655462,65.6821087272764,57.58945484772946,12.284928540571492,3.8629309941314696
PCHAS_1100900,23.41309568395988,18.94493614617645,8.951213835395535,10.08282615971269,127.25351641240371,169.65306896702936,70.03982536801627,27.093049732526342
PCHAS_1101000,2846.374924782242,2589.0411378023814,3771.8615048924203,3676.7022055975194,2363.0115049199767,935.3910500588495,626.096853271017,1610.37059826701
PCHAS_1101100,37.52725825732277,26.344632712818797,41.837833844119615,65.02414256775802,519.0145845518381,324.7989926106376,78.0820140555128,26.694167828890684
PCHAS_1101200,0.3313494197709499,0.16617765748294094,0.39433782462934186,0.4109108473814094,1.0637334162883856,1.255790672848774,0.713713369235457,0
PCHAS_1101300,43.68555645657735,33.819037737343294,86.41623977473755,117.26237082724518,183.92440612727472,42.22729983361362,18.83830059524623,18.83234771838801
PCHAS_1101400,34.04783274482684,43.34023046642528,25.273442891259144,25.01012535352925,25.045896058481027,24.159891782274542,25.002765002157513,32.77426701994028
PCHAS_1101500,17.949087055517353,21.421766595431652,9.362978948769705,10.527420214803865,10.347523598605063,12.925432636930516,16.726077735406786,20.571978087034815
PCHAS_1101600,67.55596562462524,62.17594151418107,66.87350515639328,70.37115392052893,55.301543132432904,46.45557638571091,45.19468861765891,49.964721046695516
